week_start,week_end,rank,title,weeks_in_top10,views,runtime,hours_viewed,title_clean,season
2025-04-28,2025-05-04,1,The Four Seasons: Season 1,5,11900000,4:18,51100000,The Four Seasons,Season 1
2025-04-28,2025-05-04,2,You: Season 5,4,10900000,8:27,92400000,You,Season 5
2025-04-28,2025-05-04,3,Ransom Canyon: Season 1,4,4200000,7:54,33100000,Ransom Canyon,Season 1
2025-04-28,2025-05-04,4,"Raw: 2025 - April 28, 2025",1,3000000,1:51,5800000,Raw,"2025 - April 28, 2025"
2025-04-28,2025-05-04,5,You: Season 1,10,2800000,7:31,21300000,You,Season 1
2025-04-28,2025-05-04,6,Black Mirror: Season 7,5,2500000,6:11,15200000,Black Mirror,Season 7
2025-04-28,2025-05-04,7,Adolescence: Limited Series,10,2300000,3:50,9000000,Adolescence,Limited Series
2025-04-28,2025-05-04,8,Battle Camp: Season 1,1,2300000,8:51,20300000,Battle Camp,Season 1
2025-04-28,2025-05-04,9,Ms. Rachel: Season 1,25,2200000,3:02,6800000,Ms. Rachel,Season 1
2025-04-28,2025-05-04,10,Turning Point: The Vietnam War: Season 1,1,2100000,6:24,13700000,Turning Point: The Vietnam War,Season 1
2025-05-05,2025-05-11,1,The Four Seasons: Season 1,5,12500000,4:18,53900000,The Four Seasons,Season 1
2025-05-05,2025-05-11,2,You: Season 5,4,5400000,8:27,45300000,You,Season 5
2025-05-05,2025-05-11,3,FOREVER: Season 1,4,3700000,6:30,24200000,FOREVER,Season 1
2025-05-05,2025-05-11,4,"Raw: 2025 - May 5, 2025",1,2800000,1:56,5700000,Raw,"2025 - May 5, 2025"
2025-05-05,2025-05-11,5,Ransom Canyon: Season 1,4,2500000,7:54,20000000,Ransom Canyon,Season 1
2025-05-05,2025-05-11,6,Ms. Rachel: Season 1,25,2200000,3:02,6700000,Ms. Rachel,Season 1
2025-05-05,2025-05-11,7,Unseen: Season 2,1,2000000,4:26,9000000,Unseen,Season 2
2025-05-05,2025-05-11,8,Unseen: Season 1,3,2000000,4:28,9000000,Unseen,Season 1
2025-05-05,2025-05-11,9,You: Season 1,10,1600000,7:31,11800000,You,Season 1
2025-05-05,2025-05-11,10,Black Mirror: Season 7,5,1600000,6:11,9600000,Black Mirror,Season 7
2025-05-12,2025-05-18,1,American Manhunt: Osama bin Laden: Season 1,4,12600000,3:04,38700000,American Manhunt: Osama bin Laden,Season 1
2025-05-12,2025-05-18,2,Fred and Rose West: A British Horror Story: Limited Series,3,8300000,2:37,21700000,Fred and Rose West: A British Horror Story,Limited Series
2025-05-12,2025-05-18,3,FOREVER: Season 1,4,6700000,6:30,43700000,FOREVER,Season 1
2025-05-12,2025-05-18,4,The Four Seasons: Season 1,5,5300000,4:18,23000000,The Four Seasons,Season 1
2025-05-12,2025-05-18,5,Bad Thoughts: Season 1,1,3800000,1:58,7500000,Bad Thoughts,Season 1
2025-05-12,2025-05-18,6,You: Season 5,4,3300000,8:27,28000000,You,Season 5
2025-05-12,2025-05-18,7,"Love, Death & Robots: Volume 4",2,2900000,2:02,5900000,"Love, Death & Robots",Volume 4
2025-05-12,2025-05-18,8,"Raw: 2025 - May 12, 2025",1,2700000,1:49,5100000,Raw,"2025 - May 12, 2025"
2025-05-12,2025-05-18,9,Bet: Season 1,3,2400000,5:49,13700000,Bet,Season 1
2025-05-12,2025-05-18,10,Ms. Rachel: Season 1,25,2200000,3:02,6700000,Ms. Rachel,Season 1
2025-05-19,2025-05-25,1,Sirens: Limited Series,8,16700000,4:44,79200000,Sirens,Limited Series
2025-05-19,2025-05-25,2,American Manhunt: Osama bin Laden: Season 1,4,10700000,3:04,32800000,American Manhunt: Osama bin Laden,Season 1
2025-05-19,2025-05-25,3,Fred and Rose West: A British Horror Story: Limited Series,3,6000000,2:37,15800000,Fred and Rose West: A British Horror Story,Limited Series
2025-05-19,2025-05-25,4,Bet: Season 1,3,5000000,5:49,28800000,Bet,Season 1
2025-05-19,2025-05-25,5,"Love, Death & Robots: Volume 4",2,3400000,2:02,7000000,"Love, Death & Robots",Volume 4
2025-05-19,2025-05-25,6,The Four Seasons: Season 1,5,3200000,4:18,13900000,The Four Seasons,Season 1
2025-05-19,2025-05-25,7,FOREVER: Season 1,4,3200000,6:30,20600000,FOREVER,Season 1
2025-05-19,2025-05-25,8,Miss Governor: Season 1,2,2700000,3:18,9000000,Miss Governor,Season 1
2025-05-19,2025-05-25,9,"Raw: 2025 - May 19, 2025",1,2700000,1:40,5000000,Raw,"2025 - May 19, 2025"
2025-05-19,2025-05-25,10,Ms. Rachel: Season 1,25,2200000,3:02,6700000,Ms. Rachel,Season 1
2025-05-26,2025-06-01,1,Sirens: Limited Series,8,18200000,4:44,86300000,Sirens,Limited Series
2025-05-26,2025-06-01,2,Cold Case: The Tylenol Murders: Season 1,2,11900000,1:58,23500000,Cold Case: The Tylenol Murders,Season 1
2025-05-26,2025-06-01,3,Dept. Q: Season 1,6,6000000,8:16,49300000,Dept. Q,Season 1
2025-05-26,2025-06-01,4,American Manhunt: Osama bin Laden: Season 1,4,5400000,3:04,16500000,American Manhunt: Osama bin Laden,Season 1
2025-05-26,2025-06-01,5,Bet: Season 1,3,2900000,5:49,16600000,Bet,Season 1
2025-05-26,2025-06-01,6,"Raw: 2025 - May 26, 2025",1,2600000,1:43,4800000,Raw,"2025 - May 26, 2025"
2025-05-26,2025-06-01,7,The Four Seasons: Season 1,5,2400000,4:18,10400000,The Four Seasons,Season 1
2025-05-26,2025-06-01,8,Fred and Rose West: A British Horror Story: Limited Series,3,2300000,2:37,6100000,Fred and Rose West: A British Horror Story,Limited Series
2025-05-26,2025-06-01,9,Miss Governor: Season 1,2,2300000,3:18,7600000,Miss Governor,Season 1
2025-05-26,2025-06-01,10,FOREVER: Season 1,4,2300000,6:30,14700000,FOREVER,Season 1
2025-06-09,2025-06-15,1,Ginny & Georgia: Season 3,6,16900000,10:34,178200000,Ginny & Georgia,Season 3
2025-06-09,2025-06-15,2,The Survivors: Limited Series,4,9000000,4:58,44600000,The Survivors,Limited Series
2025-06-09,2025-06-15,3,Sirens: Limited Series,8,4300000,4:44,20200000,Sirens,Limited Series
2025-06-09,2025-06-15,4,Dept. Q: Season 1,6,4300000,8:16,35200000,Dept. Q,Season 1
2025-06-09,2025-06-15,5,Ginny & Georgia: Season 1,10,4200000,9:08,38600000,Ginny & Georgia,Season 1
2025-06-09,2025-06-15,6,Ginny & Georgia: Season 2,11,3300000,9:47,32100000,Ginny & Georgia,Season 2
2025-06-09,2025-06-15,7,"Raw: 2025 - June 9, 2025",1,2900000,2:02,6100000,Raw,"2025 - June 9, 2025"
2025-06-09,2025-06-15,8,Tires: Season 2,1,2800000,4:54,13700000,Tires,Season 2
2025-06-09,2025-06-15,9,The Creature Cases: Chapter 5,1,2500000,2:37,6600000,The Creature Cases,Chapter 5
2025-06-09,2025-06-15,10,FUBAR: Season 2,3,2200000,6:27,14400000,FUBAR,Season 2
2025-06-16,2025-06-22,1,The Waterfront: Season 1,5,8300000,6:25,53300000,The Waterfront,Season 1
2025-06-16,2025-06-22,2,Ginny & Georgia: Season 3,6,8100000,10:34,85900000,Ginny & Georgia,Season 3
2025-06-16,2025-06-22,3,The Survivors: Limited Series,4,3400000,4:58,17100000,The Survivors,Limited Series
2025-06-16,2025-06-22,4,Dept. Q: Season 1,6,3400000,8:16,28100000,Dept. Q,Season 1
2025-06-16,2025-06-22,5,AMERICA'S SWEETHEARTS: Dallas Cowboys Cheerleaders: Season 2,2,3300000,6:56,23100000,AMERICA'S SWEETHEARTS: Dallas Cowboys Cheerleaders,Season 2
2025-06-16,2025-06-22,6,Sirens: Limited Series,8,3300000,4:44,15700000,Sirens,Limited Series
2025-06-16,2025-06-22,7,FUBAR: Season 2,3,3300000,6:27,21300000,FUBAR,Season 2
2025-06-16,2025-06-22,8,Ginny & Georgia: Season 1,10,2700000,9:08,25000000,Ginny & Georgia,Season 1
2025-06-16,2025-06-22,9,"Raw: 2025 - June 16, 2025",1,2700000,1:43,5000000,Raw,"2025 - June 16, 2025"
2025-06-16,2025-06-22,10,Ginny & Georgia: Season 2,11,2700000,9:47,26200000,Ginny & Georgia,Season 2
2025-06-23,2025-06-29,1,The Waterfront: Season 1,5,11600000,6:25,74300000,The Waterfront,Season 1
2025-06-23,2025-06-29,2,Ginny & Georgia: Season 3,6,4800000,10:34,51200000,Ginny & Georgia,Season 3
2025-06-23,2025-06-29,3,AMERICA'S SWEETHEARTS: Dallas Cowboys Cheerleaders: Season 2,2,2800000,6:56,19400000,AMERICA'S SWEETHEARTS: Dallas Cowboys Cheerleaders,Season 2
2025-06-23,2025-06-29,4,"Raw: 2025 - June 23, 2025",1,2600000,1:52,5200000,Raw,"2025 - June 23, 2025"
2025-06-23,2025-06-29,5,Dept. Q: Season 1,6,2600000,8:16,21500000,Dept. Q,Season 1
2025-06-23,2025-06-29,6,Sirens: Limited Series,8,2500000,4:44,11900000,Sirens,Limited Series
2025-06-23,2025-06-29,7,Ms. Rachel: Season 1,25,2100000,3:02,6400000,Ms. Rachel,Season 1
2025-06-23,2025-06-29,8,Ginny & Georgia: Season 2,11,1900000,9:47,18100000,Ginny & Georgia,Season 2
2025-06-23,2025-06-29,9,FUBAR: Season 2,3,1800000,6:27,11800000,FUBAR,Season 2
2025-06-23,2025-06-29,10,Ginny & Georgia: Season 1,10,1800000,9:08,16000000,Ginny & Georgia,Season 1
2025-06-30,2025-07-06,1,The Waterfront: Season 1,5,5600000,6:25,36000000,The Waterfront,Season 1
2025-06-30,2025-07-06,2,The Sandman: Season 2,5,5300000,5:20,28200000,The Sandman,Season 2
2025-06-30,2025-07-06,3,Attack on London: Hunting The 7/7 Bombers: Limited Series,1,4700000,3:02,14300000,Attack on London: Hunting The 7/7 Bombers,Limited Series
